QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation,Hint
RWR-Cardiovascular System-009,Cardiovascular System,,"A 65-year-old man with a known history of atrial fibrillation on antiarrhythmic therapy is admitted to the hospital with complaints of shortness of breath. While in the ward, he suddenly develops palpitations, chest discomfort, and lightheadedness. On examination, he is diaphoretic, confused, and hypotensive with a blood pressure of 80/50 mmHg. His pulse is 160/min, regular, and wide-complex. Oxygen saturation is 90% on room air. ECG shows monomorphic ventricular tachycardia.What is the most appropriate next step in management?",Synchronized cardioversion with 200 J,Synchronized cardioversion with 100 J,Intravenous amiodarone bolus followed by infusion,"Unsynchronized DC shock (defibrillation, 360 J monophasic)",Continue current antiarrhythmic therapy and observe,A,"<span style=""color:green""><b>Synchronized cardioversion with 100 J</b></span> Unstable monomorphic VT with a pulse is treated with synchronized cardioversion (starting dose 100 J biphasic) to avoid R‑on‑T.<br><br><span style=""color:red""><b>Synchronized cardioversion with 200 J</b></span> Higher than the initial recommended dose for monomorphic VT.<br><br><span style=""color:red""><b>IV amiodarone</b></span> Reserved for stable VT; in the unstable patient, electricity is first.<br><br><span style=""color:red""><b>Unsynchronized DC shock (defibrillation)</b></span> Used only for pulseless VT/VF; here the patient has a pulse.<br><br><span style=""color:red""><b>Continue current therapy and observe</b></span> Hypotension and confusion demand immediate intervention.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Unstable VT with a pulse = sync it low (100 J); pulseless = defibrillate.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s hypotensive and confused, but still has a pulse – which electrical therapy allows the shock to avoid the T‑wave?"
RWR-Nervous System-005,Nervous System,,"A 45-year-old man with epilepsy is brought to the emergency department after a prolonged generalized tonic-clonic seizure. He is given IV lorazepam, and the team decides to administer IV phenytoin for further control. The resident prepares to start the infusion at 50 mg/min.Which of the following precautions is most important during IV phenytoin administration?",Avoid giving with normal saline,Monitor for signs of Stevens-Johnson syndrome,Cardiac monitoring throughout the infusion,Avoid giving with antibiotics to prevent drug interactions,Monitor liver function tests during infusion,C,"<span style=""color:green""><b>Cardiac monitoring throughout the infusion</b></span> IV phenytoin can cause hypotension, bradycardia, and arrhythmias; continuous cardiac monitoring and slow infusion (≤50 mg/min) are essential.<br><br><span style=""color:red""><b>Avoid giving with normal saline</b></span> Phenytoin is compatible with saline; it precipitates in dextrose solutions.<br><br><span style=""color:red""><b>Monitor for Stevens‑Johnson syndrome</b></span> A late hypersensitivity reaction, not an acute infusion‑related precaution.<br><br><span style=""color:red""><b>Avoid giving with antibiotics</b></span> Not a primary concern during acute infusion.<br><br><span style=""color:red""><b>Monitor liver function tests during infusion</b></span> Liver monitoring is chronic, not acute.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""IV phenytoin = slow infusion + cardiac monitor (hypotension, arrhythmias).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The resident is starting an IV load of phenytoin – what immediate cardiovascular adverse effect requires constant monitoring?"
RWR-Gastrointestinal System-012,Gastrointestinal System,,A 52-year-old man undergoes colonoscopy for intermittent abdominal pain. A 2 cm polypoid lesion is found at the base of the appendix. Histopathology confirms a carcinoid tumor. What is the most appropriate surgical management?,Appendectomy alone,Right hemicolectomy,Left hemicolectomy,Segmental small bowel resection,Endoscopic polypectomy,B,"<span style=""color:green""><b>Right hemicolectomy</b></span> Appendiceal carcinoid tumors ≥2 cm have a higher risk of nodal metastasis and require oncologic resection with right hemicolectomy.<br><br><span style=""color:red""><b>Appendectomy alone</b></span> Acceptable only for tumours <2 cm without high‑risk features.<br><br><span style=""color:red""><b>Left hemicolectomy</b></span> Not anatomically appropriate for an appendiceal tumour.<br><br><span style=""color:red""><b>Segmental small bowel resection</b></span> Insufficient; right colectomy with lymphadenectomy is standard.<br><br><span style=""color:red""><b>Endoscopic polypectomy</b></span> Inadequate for a 2 cm carcinoid involving the base of the appendix.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""≥2 cm = right hemicolectomy; <2 cm = appendectomy.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> A 2 cm carcinoid at the base of the appendix – does size matter when deciding between simple appendectomy and a larger resection?"
RWR-Gastrointestinal System-013,Gastrointestinal System,,"A 55-year-old man presents with a history of chronic heartburn for 8 years. His symptoms worsen after heavy meals and when lying flat. He frequently experiences nighttime regurgitation and uses over-the-counter antacids daily with only partial relief. He denies dysphagia, hematemesis, or unintentional weight loss. His BMI is 32 kg/m², and he has smoked for 25 years. Endoscopy is planned to evaluate potential long-term complications of his condition.Which of the following is the most likely long-term complication of his underlying disease?",Esophageal varices,Barrett's esophagus,Zenker's diverticulum,Esophageal carcinoma,Schatzki ring,B,"<span style=""color:green""><b>Barrett’s esophagus</b></span> Chronic GERD leads to metaplastic columnar epithelium (Barrett’s esophagus), a premalignant condition that increases the risk of esophageal adenocarcinoma.<br><br><span style=""color:red""><b>Esophageal varices</b></span> Related to portal hypertension, not GERD.<br><br><span style=""color:red""><b>Zenker’s diverticulum</b></span> An outpouching in the pharyngoesophageal region, not a complication of acid reflux.<br><br><span style=""color:red""><b>Esophageal carcinoma</b></span> Can develop from Barrett’s, but Barrett’s is the direct long‑term complication; cancer is a later step.<br><br><span style=""color:red""><b>Schatzki ring</b></span> A mucosal ring at the gastroesophageal junction causing intermittent dysphagia, not a classical long‑term GERD complication.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Chronic heartburn → Barrett’s esophagus → possible adenocarcinoma.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Years of acid reflux, nighttime regurgitation, and partial relief from antacids – what metaplastic change does this chronic exposure cause?"
RWR-Cardiovascular System-010,Cardiovascular System,,"A 25-year-old man is scheduled for elective inguinal hernia repair. He has no past medical history, takes no medications, and has no family history of clotting disorders. He is a nonsmoker, and his BMI is 22 kg/m². Preoperative labs, ECG, and chest X-ray are normal. He will undergo the procedure under general anesthesia and is expected to be discharged the next day.Which of the following is the best strategy to prevent venous thromboembolism (VTE) in this patient?",Intermittent compression devices,Low-molecular-weight heparin (LMWH),LMWH and compression devices,Early ambulation,Aspirin therapy,D,"<span style=""color:green""><b>Early ambulation</b></span> In a young, low‑risk patient without additional VTE risk factors undergoing a minor procedure, early ambulation alone is sufficient for VTE prevention.<br><br><span style=""color:red""><b>Intermittent compression devices</b></span> Can be added for moderate‑risk patients but not necessary for the lowest‑risk group.<br><br><span style=""color:red""><b>LMWH</b></span> Pharmacologic prophylaxis is reserved for high‑risk patients; not needed here.<br><br><span style=""color:red""><b>LMWH and compression devices</b></span> Overtreatment for a young healthy man with no risk factors.<br><br><span style=""color:red""><b>Aspirin therapy</b></span> Not a standard primary VTE prophylactic agent for surgical patients.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Low‑risk surgery + no risk factors = early ambulation is enough.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s young, healthy, and having a short elective hernia repair – what non‑pharmacologic measure is the recommended sole VTE preventive strategy?"
RWR-Nervous System-006,Nervous System,,"A 21-year-old college student presents with difficulty seeing clearly both at near and distance. He says that letters on the board at class appear ""blurred and stretched."" He has no history of eye trauma or systemic illness. Visual acuity testing shows reduced vision that does not improve with pinhole testing. Refraction reveals that light rays entering the eye are focused at multiple points on the retina rather than a single focal point.Which of the following is the most likely cause of his condition?",Increased axial length of the eye,Age-related loss of lens elasticity,Unequal curvature of the cornea,Opacification of the lens,Increased intraocular pressure,C,"<span style=""color:green""><b>Unequal curvature of the cornea</b></span> Irregular astigmatism causes light to focus at multiple points on the retina; corneal curvature irregularity is the primary cause in a young adult with no other pathology.<br><br><span style=""color:red""><b>Increased axial length</b></span> Causes myopia, corrected by a pinhole.<br><br><span style=""color:red""><b>Age‑related loss of lens elasticity</b></span> Presbyopia, unlikely at age 21.<br><br><span style=""color:red""><b>Opacification of the lens</b></span> Cataract, rare in a young healthy patient.<br><br><span style=""color:red""><b>Increased intraocular pressure</b></span> Glaucoma damages the optic nerve but does not cause multiple focal points.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Multiple focus points = unequal corneal curvature (astigmatism).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Vision is blurred both near and far, doesn’t improve with pinhole, and light focuses at multiple points – what shape abnormality of the cornea could cause this?"
RWR-Nervous System-007,Nervous System,,"A 45-year-old man comes to the clinic with difficulty reading books and newspapers for the past year. He reports that holding the book farther away improves his vision. His distance vision is normal. Ophthalmologic exam shows clear lenses, normal intraocular pressure, and no retinal pathology. Which of the following is the most likely cause of his condition?",Cataract,Loss of elasticity of the lens,Hyperopia,Astigmatism,Open-angle glaucoma,B,"<span style=""color:green""><b>Loss of elasticity of the lens</b></span> Presbyopia is the age‑related stiffening of the lens, reducing accommodative power for near vision, with normal distance vision.<br><br><span style=""color:red""><b>Cataract</b></span> Would also affect distance vision and show lens opacity.<br><br><span style=""color:red""><b>Hyperopia</b></span> A refractive error present from youth, not an acquired age‑related change.<br><br><span style=""color:red""><b>Astigmatism</b></span> Causes distortion at all distances, not just near.<br><br><span style=""color:red""><b>Open‑angle glaucoma</b></span> Asymptomatic peripheral vision loss, not near‑vision difficulty.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Age 45 + near blur, distance clear = presbyopia (stiff lens).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s in his 40s and notices that reading is harder unless he holds the book farther away – what happens to the lens with age?"
RWR-Gastrointestinal System-014,Gastrointestinal System,,"A 3-day-old premature infant born at 30 weeks of gestation develops abdominal distension, feeding intolerance, and bloody stools. On exam, the abdomen is tense and tender. Vital signs show temperature 38.2°C, HR 180/min, and BP 70/40 mmHg. Abdominal X-ray shows pneumatosis intestinalis (air in the bowel wall). Which of the following is the most appropriate initial management for this condition?",Immediate surgical resection of the affected bowel,Initiation of broad-spectrum IV antibiotics and bowel rest with nasogastric decompression,Oral feeding with hydrolyzed formula to reduce antigenic stimulation,Exchange transfusion to reduce bacterial toxins,High-dose corticosteroids to reduce inflammation,B,"<span style=""color:green""><b>Initiation of broad‑spectrum IV antibiotics and bowel rest with nasogastric decompression</b></span> NPO, NG decompression, IV fluids, and broad‑spectrum antibiotics are the mainstays of medical management for NEC; surgery is reserved for perforation or failure of medical therapy.<br><br><span style=""color:red""><b>Immediate surgical resection</b></span> Not first line unless pneumoperitoneum is present.<br><br><span style=""color:red""><b>Oral feeding with hydrolyzed formula</b></span> The infant must be made NPO.<br><br><span style=""color:red""><b>Exchange transfusion</b></span> No role in NEC management.<br><br><span style=""color:red""><b>High‑dose corticosteroids</b></span> Not indicated and may worsen infection.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""NEC = NPO, decompress, antibiotics; operate if perforation or dead gut.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> X‑ray shows air in the bowel wall of a premature infant – what non‑surgical steps must be started immediately to rest the gut and treat sepsis?"
RWR-Cardiovascular System-011,Cardiovascular System,,"A 25-year-old man is brought to the emergency department after a motorcycle accident. He is conscious but anxious and complaining of abdominal pain. On exam, he is pale, diaphoretic, and tachypneic. His heart rate is 150/min, blood pressure 80/50 mmHg, and capillary refill is delayed. Estimated weight is 70 kg.What is the approximate percentage of blood volume lost in this patient?",15%,30%,40%,50%,60%,C,"<span style=""color:green""><b>30%</b></span> Class III hemorrhagic shock (loss of 30–40% blood volume) presents with heart rate >120, decreased BP, tachypnea, confusion, and delayed capillary refill.<br><br><span style=""color:red""><b>15%</b></span> Class I, minimal symptoms.<br><br><span style=""color:red""><b>40%</b></span> Upper limit of Class III; patient may still be in Class III, but 30% is the lower threshold with this picture.<br><br><span style=""color:red""><b>50%</b></span> Class IV, immediate cardiovascular collapse.<br><br><span style=""color:red""><b>60%</b></span> Incompatible with life without immediate CPR.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Class III: BP down, HR >120, confused = 30–40% loss.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Heart rate 150, BP 80/50, delayed capillary refill – which ATLS hemorrhage class best matches this hemodynamic picture?"
RWR-Nervous System-008,Nervous System,,"A 55-year-old man undergoes surgery for a parotid tumor. After the procedure, he develops dryness of the mouth due to loss of parasympathetic supply to the parotid gland. Which cranial nerve provides the preganglionic parasympathetic fibers to the parotid gland?",Facial nerve (CN VII),Trigeminal nerve (CN V),Glossopharyngeal nerve (CN IX),Vagus nerve (CN X),Hypoglossal nerve (CN XII),C,"<span style=""color:green""><b>Glossopharyngeal nerve (CN IX)</b></span> Preganglionic parasympathetic fibres to the parotid gland travel via the lesser petrosal nerve (branch of CN IX) to the otic ganglion; postganglionic fibres join the auriculotemporal nerve.<br><br><span style=""color:red""><b>Facial nerve (CN VII)</b></span> Supplies submandibular and sublingual glands, not parotid.<br><br><span style=""color:red""><b>Trigeminal nerve (CN V)</b></span> Carries postganglionic fibres from the otic ganglion but does not provide preganglionic innervation.<br><br><span style=""color:red""><b>Vagus nerve (CN X)</b></span> Parasympathetic to thoracic and abdominal viscera.<br><br><span style=""color:red""><b>Hypoglossal nerve (CN XII)</b></span> Motor to tongue muscles.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""CN IX runs the parotid; CN VII handles the rest (submandibular/sublingual).""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Dry mouth after parotid surgery – which cranial nerve sends the “wet” signal to the otic ganglion before it reaches the gland?"
RWR-Reproductive System-002,Reproductive System,,"A 40-year-old woman presents with a rapidly enlarging, painless mass in her right breast for the past 3 months. She reports no nipple discharge or systemic symptoms. On exam, there is an 8 cm firm, lobulated, mobile breast lump without skin changes or axillary lymphadenopathy. Core needle biopsy shows a fibroepithelial lesion with increased stromal cellularity and leaf-like architecture. What is the most appropriate next step in management?",Simple mastectomy,Wide local excision with clear margins,Radical mastectomy,Lumpectomy without margin clearance,Axillary lymph node dissection,B,"<span style=""color:green""><b>Wide local excision with clear margins</b></span> Phyllodes tumours require complete excision with a ≥1 cm margin to reduce local recurrence; axillary clearance is not needed as they rarely spread via lymphatics.<br><br><span style=""color:red""><b>Simple mastectomy</b></span> Reserved for large tumours where a clear margin cannot be achieved with breast conservation.<br><br><span style=""color:red""><b>Radical mastectomy</b></span> Unnecessarily morbid; axillary dissection is not indicated.<br><br><span style=""color:red""><b>Lumpectomy without margin clearance</b></span> Enucleation leads to high recurrence.<br><br><span style=""color:red""><b>Axillary lymph node dissection</b></span> Lymphatic spread is uncommon; node dissection is not routine.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Leaf‑like fibroepithelial = phyllodes; wide local with clear margins, no nodes.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> Core biopsy shows a leaf‑like fibroepithelial lesion – what margin‑focused excision prevents recurrence without removing lymph nodes?"
RWR-Nervous System-009,Nervous System,,"A 32-year-old man presents to the emergency department after a deep laceration on the dorsolateral aspect of his wrist from broken glass. He reports numbness in the skin between his thumb and index finger. On examination, motor function of the wrist and fingers is intact, but sensory loss is confirmed in the first dorsal web space.Which nerve is most likely injured?",Median nerve,Ulnar nerve,Superficial branch of radial nerve,Deep branch of radial nerve,Posterior interosseous nerve,C,"<span style=""color:green""><b>Superficial branch of radial nerve</b></span> This pure sensory nerve supplies the dorsum of the hand and the first dorsal web space; a dorsal‑lateral wrist laceration with numbness here points to this nerve.<br><br><span style=""color:red""><b>Median nerve</b></span> Would cause thenar motor weakness and sensory loss in the palmar thumb, index, and middle fingers.<br><br><span style=""color:red""><b>Ulnar nerve</b></span> Affects the little finger and ulnar half of ring finger.<br><br><span style=""color:red""><b>Deep branch of radial nerve</b></span> Motor to wrist/finger extensors; no sensory loss.<br><br><span style=""color:red""><b>Posterior interosseous nerve</b></span> Pure motor, no sensory deficit.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Dorsal web space numbness + intact motor = superficial radial nerve.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The cut is on the back‑side of the wrist, and he can’t feel between thumb and index finger – which sensory nerve runs there?"
RWR-Nervous System-010,Nervous System,,"A 45-year-old woman underwent a modified radical mastectomy (MRM) for carcinoma breast. Two weeks later, she complains of difficulty raising her right arm above her head. On examination, her medial border of the scapula protrudes outward when pushing against a wall. Which nerve was most likely injured during surgery?",Long thoracic nerve,Thoracodorsal nerve,Spinal accessory nerve,Dorsal scapular nerve,Suprascapular nerve,A,"<span style=""color:green""><b>Long thoracic nerve</b></span> Injury causes serratus anterior palsy, presenting with difficulty elevating the arm and medial scapular winging on pushing.<br><br><span style=""color:red""><b>Thoracodorsal nerve</b></span> Innervates latissimus dorsi; weakness with adduction, not winging.<br><br><span style=""color:red""><b>Spinal accessory nerve</b></span> Supplies trapezius; leads to lateral winging on arm abduction.<br><br><span style=""color:red""><b>Dorsal scapular nerve</b></span> Supplies rhomboids; minor winging, but medial border prominent at rest.<br><br><span style=""color:red""><b>Suprascapular nerve</b></span> Supplies supraspinatus/infraspinatus; no winging.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Medial winging when pushing = serratus anterior = long thoracic nerve.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> After mastectomy, her scapula sticks out medially when she pushes against a wall – which nerve to the serratus anterior was likely cut?"
RWR-Gastrointestinal System-015,Gastrointestinal System,,"A 58-year-old man presents with a bulge in his right groin that has been slowly enlarging over the past 6 months. He reports that it becomes more noticeable when coughing or straining but usually reduces when he lies down. He has no history of prior surgery. On physical examination, the swelling is palpable within Hesselbach's triangle and is found to be medial to the inferior epigastric artery.Which of the following is the most likely diagnosis?",Indirect inguinal hernia,Direct inguinal hernia,Femoral hernia,Spigelian hernia,Obturator hernia,B,"<span style=""color:green""><b>Direct inguinal hernia</b></span> A hernia medial to the inferior epigastric vessels, protruding through Hesselbach’s triangle, is a direct inguinal hernia.<br><br><span style=""color:red""><b>Indirect inguinal hernia</b></span> Lateral to the inferior epigastric vessels.<br><br><span style=""color:red""><b>Femoral hernia</b></span> Below the inguinal ligament, lateral to the pubic tubercle.<br><br><span style=""color:red""><b>Spigelian hernia</b></span> Occurs at the lateral rectus border, not in Hesselbach’s triangle.<br><br><span style=""color:red""><b>Obturator hernia</b></span> Presents with medial thigh pain/obturator sign, not a reducible groin bulge.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Medial to epigastric = direct; lateral = indirect.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The swelling is inside Hesselbach’s triangle and medial to the inferior epigastric artery – which hernia does that define?"
RWR-Gastrointestinal System-016,Gastrointestinal System,,"A 1-month-old infant is brought to the pediatric clinic for evaluation of abnormal facial appearance since birth. On examination, the child has a gap involving the upper lip extending toward the nostril. Feeding is adequate with supportive measures. No airway compromise is noted.Which of the following should be the first surgical correction performed in this child?",Cleft lip,Cleft palate,Alveolar cleft,Pharyngeal flap surgery,Orthodontic correction,A,"<span style=""color:green""><b>Cleft lip</b></span> Cleft lip is repaired first (around 3 months) to restore feeding, appearance, and facilitate later palate repair.<br><br><span style=""color:red""><b>Cleft palate</b></span> Repaired later (9‑12 months) to allow maxillary growth.<br><br><span style=""color:red""><b>Alveolar cleft</b></span> Bone grafting in mixed dentition phase.<br><br><span style=""color:red""><b>Pharyngeal flap surgery</b></span> For velopharyngeal insufficiency, not primary repair.<br><br><span style=""color:red""><b>Orthodontic correction</b></span> Done in later childhood/adolescence.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Lip at 3 months, palate at 9‑12 months.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The newborn has a gap in the upper lip without airway compromise – which structure is routinely repaired first in the first few months of life?"
RWR-Musculoskeletal System-002,Musculoskeletal System,,"An 8-year-old boy falls while playing and lands on his outstretched hand. He presents with painful swelling of the left forearm and elbow, along with decreased radial pulse compared to the opposite side. The hand is pale and painful, and passive stretching of fingers worsens the pain.What is the most likely diagnosis?",Supracondylar fracture with compartment syndrome,Supracondylar fracture with radial artery laceration,Monteggia fracture-dislocation,Galeazzi fracture-dislocation,Isolated radial shaft fracture,A,"<span style=""color:green""><b>Supracondylar fracture with compartment syndrome</b></span> Fall on outstretched hand, forearm swelling, decreased radial pulse, and pain on passive finger stretch indicate a supracondylar fracture complicated by compartment syndrome.<br><br><span style=""color:red""><b>Supracondylar fracture with radial artery laceration</b></span> Would present with absent pulse, but passive stretch pain points to compartment syndrome.<br><br><span style=""color:red""><b>Monteggia fracture‑dislocation</b></span> Ulna fracture with radial head dislocation.<br><br><span style=""color:red""><b>Galeazzi fracture‑dislocation</b></span> Radius fracture with distal radioulnar joint disruption.<br><br><span style=""color:red""><b>Isolated radial shaft fracture</b></span> Would not explain the elbow swelling and neurovascular findings.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Supracondylar + pain on passive stretch = compartment syndrome until proven otherwise.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He fell onto an outstretched hand, has a swollen forearm and elbow, and screaming pain when you stretch his fingers – what two related diagnoses are you worried about?"
RWR-Trauma-006,Trauma,,"A 25-year-old man is brought to the emergency department after a high-speed road traffic accident. He is unconscious, with a blood pressure of 70/40 mmHg and heart rate of 138/min. On examination, he has abdominal distension and tenderness.A FAST (Focused Assessment with Sonography for Trauma) scan shows free intraperitoneal fluid. What is the next best step in management?",Diagnostic peritoneal lavage (DPL),CT scan abdomen with contrast,Immediate exploratory laparotomy,Intravenous fluids and observation,Angiographic embolization,C,"<span style=""color:green""><b>Immediate exploratory laparotomy</b></span> An unstable patient with a positive FAST requires immediate operative source control without delay for CT.<br><br><span style=""color:red""><b>Diagnostic peritoneal lavage (DPL)</b></span> Largely replaced by FAST; would delay definitive surgery.<br><br><span style=""color:red""><b>CT scan abdomen with contrast</b></span> Only in stable patients; instability mandates the OR.<br><br><span style=""color:red""><b>IV fluids and observation</b></span> Inadequate for a hemorrhaging patient.<br><br><span style=""color:red""><b>Angiographic embolization</b></span> Used for solid organ injury in stable patients.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Unstable + free fluid = laparotomy, not CT.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> He’s hypotensive and tachycardic after trauma, and the FAST shows free fluid – what next move bypasses the scanner?"
RWR-Integumentary System-004,Integumentary System,,"A 58-year-old man with a 15-year history of poorly controlled diabetes presents with a chronic ulcer on the plantar surface of his foot. On examination, the ulcer is deep with exposed muscle fibers at the base, but there is no exposed bone or joint involvement. Peripheral pulses are palpable, and there are surrounding neuropathic skin changes.What is the stage of this ulcer according to Wagner's classification?",Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,B,"<span style=""color:green""><b>Grade 3</b></span> Wagner Grade 3 is a deep ulcer with exposed bone, tendon, or muscle, but no abscess or osteomyelitis; exposed muscle fibers without bone involvement fit this grade.<br><br><span style=""color:red""><b>Grade 1</b></span> Superficial ulcer only.<br><br><span style=""color:red""><b>Grade 2</b></span> Deep ulcer reaching tendon/joint but not yet into muscle.<br><br><span style=""color:red""><b>Grade 4</b></span> Localized gangrene.<br><br><span style=""color:red""><b>Grade 5</b></span> Whole foot gangrene.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Wagner 3 = deep to muscle; 4 = gangrene.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The ulcer is deep, down to exposed muscle, but no bone is visible – which Wagner grade corresponds to this depth?"
RWR-Integumentary System-005,Integumentary System,,"A 70-year-old bedridden man with a history of stroke is evaluated for a painful ulcer over the sacral region. Examination shows a deep ulcer with necrotic skin extending into the underlying subcutaneous and muscle tissue. Surrounding tissue shows erythema, and there is foul-smelling discharge. What is the next best step in management?",Frequent repositioning,Topical antibiotics,Debridement of necrotic tissue,Negative pressure wound therapy,Systemic steroids,C,"<span style=""color:green""><b>Debridement of necrotic tissue</b></span> Necrotic tissue must be removed to allow wound healing and reduce infection risk before other therapies.<br><br><span style=""color:red""><b>Frequent repositioning</b></span> Prevents new ulcers but does not treat existing necrosis.<br><br><span style=""color:red""><b>Topical antibiotics</b></span> Cannot penetrate necrotic debris effectively.<br><br><span style=""color:red""><b>Negative pressure wound therapy</b></span> Useful after debridement, not before.<br><br><span style=""color:red""><b>Systemic steroids</b></span> No role; may worsen infection.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Necrotic = debride before you dress or close.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The sacral wound is deep, necrotic, and foul-smelling – what must happen to dead tissue before any dressing or therapy?"
RWR-Integumentary System-006,Integumentary System,,"A 28-year-old man is brought to the emergency department after a house fire accident. Examination reveals deep circumferential burns around the right lower leg. The affected limb is tense, swollen, and distal pulses are weak and difficult to palpate. The patient complains of severe pain out of proportion to examination. What is the immediate next step in management?",Fasciotomy,Escharotomy,Intravenous antibiotics,Skin grafting,Hyperbaric oxygen therapy,B,"<span style=""color:green""><b>Escharotomy</b></span> Deep circumferential burns form a rigid eschar that constricts blood flow; escharotomy relieves pressure and restores distal perfusion.<br><br><span style=""color:red""><b>Fasciotomy</b></span> For compartment syndrome, not primarily for burn eschar.<br><br><span style=""color:red""><b>Intravenous antibiotics</b></span> Not the immediate step to restore circulation.<br><br><span style=""color:red""><b>Skin grafting</b></span> Performed after eschar removal and wound preparation.<br><br><span style=""color:red""><b>Hyperbaric oxygen therapy</b></span> Adjunctive, not for acute limb‑threatening constriction.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Circumferential burn + weak pulses = escharotomy, not fasciotomy.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The burn goes all the way around the leg, the limb is tense, and the pulse is hard to find – what incision releases this constricting band?"
RWR-Musculoskeletal System-003,Musculoskeletal System,,"A 65-year-old woman presents to the emergency department after slipping in her bathroom. On examination, her right leg is shortened and externally rotated. She is unable to bear weight. X-ray confirms a displaced fracture of the femoral neck.Which of the following is the most important long-term complication of this injury?",Osteoarthritis of the hip,Avascular necrosis of the femoral head,Nonunion of fracture,Deep vein thrombosis,Sciatic nerve injury,B,"<span style=""color:green""><b>Avascular necrosis of the femoral head</b></span> Displaced femoral neck fractures disrupt the medial circumflex femoral artery, the main blood supply to the femoral head, leading to avascular necrosis as the most serious long‑term complication.<br><br><span style=""color:red""><b>Osteoarthritis</b></span> Can occur, but AVN is the classic feared complication.<br><br><span style=""color:red""><b>Nonunion</b></span> Higher risk in displaced fractures, but AVN is more specific to the blood supply.<br><br><span style=""color:red""><b>Deep vein thrombosis</b></span> Common perioperative risk, not a direct long‑term orthopedic complication.<br><br><span style=""color:red""><b>Sciatic nerve injury</b></span> Rare, more associated with posterior hip dislocation.<br><br><span style=""color:goldenrod""><b>💡 Tip: </b></span>""Femoral neck fracture → medial circumflex disruption → AVN.""","<span style=""color:darkorange""><b>🔍 Hint:</b></span> The fracture is in the femoral neck, where a critical artery enters – what long‑term bone complication threatens the joint because that artery is likely torn?"
